,variables,p_cntrl2730,p_cncr5987,p_cntrl5081,p_cncr1718,p_cncr2573,p_cncr2035,p_cntrl2972,p_cncr6812,p_cntrl9873,p_cncr4188,p_cncr9002,p_cncr9466,p_cncr8865,p_cntrl5767,p_cncr2978,p_cntrl6376,p_cntrl8387,p_cncr3595,p_cncr4026,p_cncr9591,p_cntrl8413,p_cncr9070,p_cncr6166,p_cncr1817,p_cntrl6666,p_cncr2162,p_cncr1856,p_cncr2882,p_cncr1259,p_cntrl5277
12,c_3_0_00,0.248128799834321,0.25403676477059456,0.23663216376561144,0.1647620245931083,0.1966876361566934,0.24416566642854612,0.3198953026513905,0.26947876057870146,0.20670437539418213,0.261434487400321,0.26892494090202806,0.1949136494718935,0.2357244861607004,0.22865026205333133,0.2398713578199166,0.347579368166408,0.1882228301381304,0.2317501680896325,0.211650048330339,0.2809667662907698,0.2292287737739115,0.2415883618049323,0.2601545097280332,0.28045322750415147,0.24165740760757465,0.16928429456891833,0.19452487170215138,0.23391598719952997,0.1908298916788517,0.2699910795343682
13,c_3_0_01,0.30340901230062317,0.26501256787928773,0.20995906491224395,0.2945868676522602,0.27426687432030333,0.2536287647676026,0.21214471377433847,0.25095958953686737,0.2611402420166176,0.19740074850256265,0.31219718164114035,0.21430606764388274,0.2309809623457139,0.2556170968838185,0.28279335346816264,0.23670310038663375,0.2813470455663801,0.3009040328034473,0.30046590388800426,0.24290817824934882,0.30766135835179503,0.22417506380831184,0.23607836666215345,0.25593596842702754,0.2796085166527918,0.32878429653361085,0.28947561328147003,0.25540250540099774,0.34108168447505693,0.24692658498618772
14,c_3_0_10,0.221717275278918,0.31903678965197596,0.23334370865085088,0.2088521233975569,0.3187093185956048,0.2949614943440925,0.27213078377356964,0.23082214952093116,0.29775583961017904,0.30311733935075075,0.20579271304023014,0.31370430315248593,0.29059013420331475,0.2832038570449314,0.23545211549645556,0.2332742595164042,0.245629349410322,0.23390970434278296,0.24788562293769353,0.22196887408984564,0.26034697361260534,0.2954518241895301,0.2465572372044051,0.1923033870209262,0.24570795903973092,0.2503176253513983,0.2668730109056835,0.2827246561430339,0.21991530979928556,0.23655781685533683
15,c_3_0_11,0.22674491258613783,0.16191387769814172,0.3200650626712937,0.3317989843570746,0.21033617092739848,0.2072440744597588,0.1958291998007014,0.24873950036349995,0.23439954297902119,0.2380474247463656,0.2130851644166014,0.27707597973173786,0.24270441729027092,0.23252878401791877,0.2418831732154652,0.18244327193055404,0.2848007748851675,0.23343609476413726,0.23999842484396317,0.25415618137003576,0.20276289426168811,0.23878475019722575,0.25720988640540826,0.2713074170478948,0.2330261166999026,0.25161378354607256,0.2491265041106951,0.22795685125643836,0.24817311404680584,0.24652451862410726
16,c_3_1_00,0.21957422070463342,0.19174749875970287,0.1958334683307638,0.3270832554839205,0.16146135330853073,0.24517969987596802,0.19054399895203167,0.17374327986670302,0.15499001722937517,0.2962921980340967,0.28493380146435965,0.2274259332906337,0.29726390660777874,0.21817416000256853,0.38517089292843903,0.18709935842936307,0.1483750835523397,0.23010431631854844,0.20037918745735087,0.34748391022220826,0.26585766901664637,0.1263739436247125,0.2292837522638301,0.38948760445766223,0.23805052456198358,0.15216440286732777,0.2346041082576354,0.25126274924170827,0.13106452904012533,0.20471647318599193
17,c_3_1_01,0.3319635914303108,0.3273018338901794,0.2507577603470916,0.13226563676144804,0.309493157168466,0.2526147313201807,0.3414960174736973,0.34669507024886587,0.31285460018142464,0.16254303786878696,0.2961883210788088,0.1817937838251425,0.16944154189863556,0.2660931989345813,0.13749381835964017,0.3971831101236787,0.32119479215217084,0.30254988457453136,0.31173676476099244,0.1763910343179103,0.2710324631090602,0.33938948198853164,0.2669491241263566,0.14690159147351678,0.2832153996983829,0.3459041882352014,0.249396376725986,0.23805574335881946,0.4008470471137833,0.312201191334564
18,c_3_1_10,0.2492738725235633,0.24813378515980328,0.26523389619909143,0.35449282840062823,0.22250629384237167,0.2452232851393872,0.163730877606106,0.23188121294939376,0.2596009183236579,0.2898453838623567,0.2259189978861773,0.2757598878000385,0.26260471656162065,0.20636409234623576,0.3035339691187918,0.18217970921754337,0.142919729645707,0.23209717631498364,0.25628485023406095,0.323118204642846,0.20639174712463337,0.2270747976931281,0.20589420055639188,0.30488340704288525,0.24804106394453507,0.1865226754242428,0.3371803145105352,0.3217911406860413,0.19012764183945602,0.18204101026088232
19,c_3_1_11,0.1991883153414925,0.23281688219031443,0.2881748751230532,0.18615827935400325,0.3065391956806316,0.25698228366446413,0.30422910596816505,0.24768043693503736,0.2725544642655423,0.25131938023475964,0.19295887957065425,0.3150203950841853,0.270689834931965,0.3093685487166144,0.17380131959312897,0.23353782222941488,0.38751039464978243,0.2352486227919366,0.2315991975475958,0.1530068508170354,0.25671812074966005,0.30716177669362776,0.29787292305342145,0.15872739702593575,0.23069301179509846,0.315408733473228,0.1788192005058434,0.18889036671343093,0.2779607820066354,0.3010413252185618
20,c_3_2_00,0.32855279762699874,0.21761650958526765,0.2293461357541738,0.31850638705328804,0.15255725945131562,0.2739704207705451,0.2820537803630475,0.2682597868176247,0.23725351873424996,0.2912486158015542,0.2536929958833726,0.17802836198992175,0.2786896240059834,0.18808191436878874,0.35503824245204557,0.2384571983782276,0.1298370500887073,0.2856660307723373,0.27441457794902674,0.300028341272766,0.22566290759931756,0.1726173905877062,0.19031555348308465,0.39900930201339785,0.29518729232888646,0.146278932472761,0.2773496738674677,0.22385841219775307,0.1432387583750838,0.19944449426366803
21,c_3_2_01,0.22298501450794547,0.30143282306461466,0.21724509292368158,0.14084250519208044,0.3183972510256811,0.2238240104256036,0.2499862360626814,0.25217856329794414,0.2305910986765498,0.16758662010132944,0.32742912665979584,0.23119135512585448,0.18801582450043092,0.2961854445683611,0.16762646883603363,0.3458252701748142,0.33973282561580326,0.24698817012074245,0.23770137426931653,0.22384660326735256,0.311227224526389,0.29314603502553793,0.305917322907102,0.13737989391778116,0.22607863193148003,0.35178965862976813,0.2066508111161537,0.2654600804027747,0.38867281777882484,0.31747317025688787
